complaint_id,date_received,district_occurrence,general_cap_classification,summary
19-0533,10/21/19,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-13-19 at 9:00 PM, they were verbally abused, harassed and improperly ticketed by an officer assigned to the 35th District."
19-0534,10/21/19,25,PHYSICAL ABUSE,"According to the complainant, on 10-14-19 at 2:50 PM, they were physically abused by a sergeant from the 25th District and unknown officers of the 24th District."
19-0535,10/17/19,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-12-19 at 12:07 AM, they were improperly stopped and harassed by officers while in the confines of the 35th District."
19-0536,10/21/19,15,HARASSMENT,"According to the complainant, on 7-5-19 at 11:30 PM, they were verbally abused and harassed by an off-duty officer assigned to the 35th District, while in the confines of the 15th District."
19-0537,10/22/19,14,LACK OF SERVICE,"According to the complainant, on 9-8-19 at 2:15 AM, they did not receive proper service from officers while in the confines of the 14th District."
19-0538,10/21/19,18,LACK OF SERVICE,"According to the complainant, on 10-15-19 at 11:22 PM, they did not receive proper service from an officer while in the confines of the 18th District."
19-0539,10/21/19,12,UNPROFESSIONAL CONDUCT,"According to the complainant, on 9-9-19 and 9-11-19 they did not receive proper service and were treated unprofessionally by officers assigned to the 12th District."
19-0540,10/21/19,35,VERBAL ABUSE,"According to the complainant, on 9-21-19 at 10:45 PM, they were treated unprofessionally and verbally abused by officers while in the confines of the 35th District."
19-0541,10/23/19,19,PHYSICAL ABUSE,"According to the complainant, on 11-4-17, they were physically abused and did not receive proper service from officers assigned to the 19th District."
19-0542,10/22/19,35,CRIMINAL ALLEGATION,"According to the complainant, on 9-12-19 at 10:30 PM, their property was not returned to them by unknown officers within the confines of the 35th District."
19-0543,10/22/19,24,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 10-20-19 at 10:30 PM, they were racially discriminated against and improperly stopped by officers assigned to the 24th District."
19-0544,10/22/19,15,LACK OF SERVICE,"According to the complainant, on an unlisted date and time, a detective, assigned to Northeast Detective Division, violated departmental policies while in the confines of the 15th District."
19-0545,10/22/19,14,CRIMINAL ALLEGATION,"According to the complainant, on an unlisted date and time, they are missing property by an officer while in the confines of the 14th District."
19-0546,10/23/19,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on various dates, departmental policies have been violated by officers while in the confines of the 6th District."
19-0547,10/24/19,24,LACK OF SERVICE,"According to the complainant, on 9-20-19, they did not receive proper service from officers while in the confines of the 24th District."
19-0548,10/25/19,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-18-19, they were falsely arrested and verbally abused by officers assigned to the 22nd District."
19-0549,10/30/19,6,NON-INVESTIGATORY INCIDENT,"According to the complainant, sometime in June of 2016, they were sexually assaulted by a detective assigned to the Homicide Unit located in the confines of the 6th District."
19-0550,10/25/19,8,HARASSMENT,"According to the complainant, on 10-15-19 at 7:30 PM, they were harassed and intimidated by an off duty officer assigned to the 15th District."
19-0551,10/24/19,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-22-19 at 9:45 PM, they were verbally abused and harassed by an officer while in the confines of the 9th District."
19-0552,10/24/19,6,LACK OF SERVICE,"According to the complainant, on 10-13-19 at 4:45 AM, an officer assigned to the Accident Investigation Division failed to properly investigate an incident while in the confines of the 6th District."
19-0553,10/29/19,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-19-19 at 6:52 PM, departmental policies were violated and they were verbally abused by an officer assigned to the Highway Patrol Unit."
19-0554,10/28/19,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, sometime in the winter of 2018, officers violated departmental policies while in the confines of the 22nd District."
19-0555,10/29/19,15,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-21-19 at 9:30 PM, they were falsely arrested by officers assigned to the 15th District."
19-0556,10/28/19,24,HARASSMENT,"According to the complainant, 10-24-19 at 3:30 PM, they were harassed by officers assigned to the 24th District."
19-0557,10/28/19,6,VERBAL ABUSE,"According to the complainant, in August 2019 at 3:00 PM they were verbally abused by an officer within the confines of the 6th District."
19-0558,10/29/19,14,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-12-19, unknown officers violated departmental policies while in the confines of the 14th District."
19-0559,10/29/19,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-26-19 at 4:00 AM, unknown officers violated departmental policies and damaged their vehicle while in the confines of the 39th District."
19-0560,10/30/19,35,PHYSICAL ABUSE,"According to the complainant, on 9-12-19 at 9:30 PM, officers improperly entered their property and physically abused them while in the confines of the 35th District."
19-0561,10/30/19,16,LACK OF SERVICE,"According to the complainant, on 10-27-19 at 1:27 PM, they were treated unprofessionally and did not receive proper service from officers assigned to the 16th District."
19-0562,10/30/19,3,CRIMINAL ALLEGATION,"According to the complainant, on 10-27-19 at 10:18 AM, they were harassed by an off-duty officer and did not receive proper service from 3rd District officers."
19-0563,10/30/19,8,PHYSICAL ABUSE,"According to the complainant, on 9-3-19 at 11:40 PM, they were physically abused and falsely arrested by officers assigned to the 8th District."
19-0564,10/31/19,14,CRIMINAL ALLEGATION,"According to the complainant, on 10-3-19 at 6:20 AM, they are missing property and departmental policies were violated by detectives assigned to Northwest Detective Division while in the confines of the 14th District."
19-0565,10/31/19,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 09-27-19 at 9:52 PM, they are missing property by an officer while in the confines of the 19th District."
19-0566,10/31/19,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-23-19 at 6:00 PM, unknown officers violated departmental policy within the confines of the 26th District."
19-0567,11/1/19,2,PHYSICAL ABUSE,"According to the complainant, on 10-24-19 at 6:00 PM, they were physically abused and had their property damaged by officers assigned to the 2nd District."
19-0568,10/30/19,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-23-19 at 7:01 PM, they were improperly cited and stopped by officers assigned to the 18th District."
19-0569,10/30/19,3,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-26-19, departmental policies were violated by an officer assigned to the 3rd District."
19-0570,10/31/19,22,LACK OF SERVICE,"According to the complainant, on 10-28-19 at 1:00 PM, they did not receive proper service from an officer while in the confines of the 22nd District."
19-0571,11/1/19,26,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-29-19 at 6:50 PM, they were treated unprofessionally by officers while in the confines of the 26th District."
19-0572,11/1/19,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-22-19 at 8:56 PM, officers acted in an unprofessional manner and violated departmental directives while in the confines of the 39th District."
19-0573,11/1/19,18,LACK OF SERVICE,"According to the complainant, on 7-16-19 at 12:57 AM, they did not receive proper service and were treated unprofessionally by officers while in the confines of the 18th District."
19-0574,11/1/19,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-5-19 at 10:00 AM, their vehicle was improperly searched by officers while in the confines of the 25th District."
19-0575,11/5/19,39,DOMESTIC,"According to the complainant, for the past 2 years, they were harassed by an off-duty officer while in the confines of the 39th District."
19-0576,11/5/19,16,VERBAL ABUSE,"According to the complainant, on 10-28-19 at 1:00 PM, they were verbally abused and did not receive proper service from an unknown dispatcher while in the confines of the 16th District."
19-0577,11/5/19,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, in October of 2019, officers violated departmental policies and failed to provide proper service while in the confines of the 25th District."
19-0578,11/4/19,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-26-19, unknown officers violated departmental polices while in the confines of the 6th District."
19-0579,11/5/19,35,LACK OF SERVICE,"According to the complainant, on 10-26-19 at 3:30 PM, they did not receive proper service from unknown officers while in the confines of the 35th District."
19-0580,11/6/19,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-23-19 at 1:50 PM, they were verbally abused and departmental policy was violated by an officer assigned to the 9th District."
19-0581,11/6/19,9,PHYSICAL ABUSE,"According to the complainant, on 11-03-19, they were physically abused and falsely arrested by officers within the confines of the 9th District."
19-0582,11/6/19,3,LACK OF SERVICE,"According to the complainant, on 09-20-19, they did not receive proper service by officers within the confines of the 3rd District."
19-0583,11/6/19,8,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-27-19 at 10:55 AM, they were treated unprofessionally by an officer assigned to the 8th District."
19-0584,11/6/19,2,CIVIL RIGHTS COMPLAINT,"According to the complainant, on an unknown date and time, their civil rights were violated and they did not receive proper service from officers while in the confines of the 2nd District."
19-0585,11/5/19,77,VERBAL ABUSE,"According to the complainant, on 10-28-19, they were verbally abused by an officer while in the confines of the Airport Unit."
19-0586,11/6/19,19,VERBAL ABUSE,"According to the complainant, on 10-31-19 at 7:52 PM, they were verbally abused by an officer assigned to the Highway Patrol Unit within the confines of the 19th District."
19-0587,11/22/19,2,NON-INVESTIGATORY INCIDENT,"According to the complainant, on an unknown date, time, and location, an officer assigned to the office of Professional Responsibility provided false and misleading testimony during a court proceeding."
19-0588,11/7/19,9,LACK OF SERVICE,"According to the complainant, on 11/1/19 at 11:27 PM, they did not receive proper service from an officer within the confines of the 9th District."
19-0658,12/17/19,22,PHYSICAL ABUSE,"According to the complainant, on 12-5-19, documents were falsified and they were physically abused by officers while in the confines of the 22nd District."
19-0589,11/7/19,14,CRIMINAL ALLEGATION,"According to the complainant, on 10-2-19, a detective assigned to the Northwest Detective Division was involved in criminal activity within the confines of the 14th District."
